"Break","Forecast For","Collected At","Days Out","Predicted Rating","Latest Rating","Absolute Error","Previous Rating","Rating Change"
"15th Street",2026-04-26 07:00:00,2026-04-27,-0.7,1.35,1.35,0,NA,NA
"15th Street",2026-04-26 08:00:00,2026-04-27,-0.7,1.39,1.39,0,NA,NA
"15th Street",2026-04-26 09:00:00,2026-04-27,-0.6,1.25,1.25,0,NA,NA
"15th Street",2026-04-26 10:00:00,2026-04-27,-0.6,1.12,1.12,0,NA,NA
"15th Street",2026-04-26 11:00:00,2026-04-27,-0.5,1.24,1.24,0,NA,NA
"15th Street",2026-04-26 12:00:00,2026-04-27,-0.5,1.09,1.09,0,NA,NA
"15th Street",2026-04-26 13:00:00,2026-04-27,-0.5,1.06,1.06,0,NA,NA
"15th Street",2026-04-26 14:00:00,2026-04-27,-0.4,1.11,1.11,0,NA,NA
"15th Street",2026-04-26 15:00:00,2026-04-27,-0.4,1.07,1.07,0,NA,NA
"15th Street",2026-04-26 16:00:00,2026-04-27,-0.3,1.27,1.27,0,NA,NA
"15th Street",2026-04-26 17:00:00,2026-04-27,-0.3,1.15,1.15,0,NA,NA
"15th Street",2026-04-26 18:00:00,2026-04-27,-0.3,1.21,1.21,0,NA,NA
"15th Street",2026-04-26 19:00:00,2026-04-27,-0.2,1.21,1.21,0,NA,NA
"15th Street",2026-04-26 20:00:00,2026-04-27,-0.2,1.12,1.12,0,NA,NA
"15th Street",2026-04-26 21:00:00,2026-04-27,-0.1,1.1,1.1,0,NA,NA
"15th Street",2026-04-26 22:00:00,2026-04-27,-0.1,1.09,1.09,0,NA,NA
"15th Street",2026-04-26 23:00:00,2026-04-27,0,1.11,1.11,0,NA,NA
"15th Street",2026-04-27,2026-04-27,0,1.16,1.16,0,NA,NA
"15th Street",2026-04-27 01:00:00,2026-04-27,0,1.1,1.1,0,NA,NA
"15th Street",2026-04-27 02:00:00,2026-04-27,0.1,1.13,1.13,0,NA,NA
"15th Street",2026-04-27 03:00:00,2026-04-27,0.1,1.16,1.16,0,NA,NA
"15th Street",2026-04-27 04:00:00,2026-04-27,0.2,1.13,1.13,0,NA,NA
"15th Street",2026-04-27 05:00:00,2026-04-27,0.2,1.31,1.31,0,NA,NA
"15th Street",2026-04-27 06:00:00,2026-04-27,0.3,1.4,1.4,0,NA,NA
"15th Street",2026-04-27 07:00:00,2026-04-27,0.3,1.58,1.72,0.14,NA,NA
"15th Street",2026-04-27 07:00:00,2026-04-28 01:00:00,-0.8,1.72,1.72,0,1.58,0.14
"15th Street",2026-04-27 08:00:00,2026-04-27,0.3,1.6,1.67,0.07,NA,NA
"15th Street",2026-04-27 08:00:00,2026-04-28 01:00:00,-0.7,1.67,1.67,0,1.6,0.07
"15th Street",2026-04-27 09:00:00,2026-04-27,0.4,1.53,1.67,0.14,NA,NA
"15th Street",2026-04-27 09:00:00,2026-04-28 01:00:00,-0.7,1.67,1.67,0,1.53,0.14
"15th Street",2026-04-27 10:00:00,2026-04-27,0.4,1.52,1.65,0.13,NA,NA
"15th Street",2026-04-27 10:00:00,2026-04-28 01:00:00,-0.6,1.65,1.65,0,1.52,0.13
"15th Street",2026-04-27 11:00:00,2026-04-27,0.5,1.7,1.66,0.04,NA,NA
"15th Street",2026-04-27 11:00:00,2026-04-28 01:00:00,-0.6,1.66,1.66,0,1.7,-0.04
"15th Street",2026-04-27 12:00:00,2026-04-27,0.5,1.62,1.51,0.11,NA,NA
"15th Street",2026-04-27 12:00:00,2026-04-28 01:00:00,-0.5,1.51,1.51,0,1.62,-0.11
"15th Street",2026-04-27 13:00:00,2026-04-27,0.5,1.59,1.5,0.09,NA,NA
"15th Street",2026-04-27 13:00:00,2026-04-28 01:00:00,-0.5,1.5,1.5,0,1.59,-0.09
"15th Street",2026-04-27 14:00:00,2026-04-27,0.6,1.6,1.55,0.05,NA,NA
"15th Street",2026-04-27 14:00:00,2026-04-28 01:00:00,-0.5,1.55,1.55,0,1.6,-0.05
"15th Street",2026-04-27 15:00:00,2026-04-27,0.6,1.63,1.46,0.17,NA,NA
"15th Street",2026-04-27 15:00:00,2026-04-28 01:00:00,-0.4,1.46,1.46,0,1.63,-0.17
"15th Street",2026-04-27 16:00:00,2026-04-27,0.7,1.82,1.48,0.34,NA,NA
"15th Street",2026-04-27 16:00:00,2026-04-28 01:00:00,-0.4,1.48,1.48,0,1.82,-0.34
"15th Street",2026-04-27 17:00:00,2026-04-27,0.7,1.79,1.64,0.15,NA,NA
"15th Street",2026-04-27 17:00:00,2026-04-28 01:00:00,-0.3,1.64,1.64,0,1.79,-0.15
"15th Street",2026-04-27 18:00:00,2026-04-27,0.8,1.9,1.61,0.29,NA,NA
"15th Street",2026-04-27 18:00:00,2026-04-28 01:00:00,-0.3,1.61,1.61,0,1.9,-0.29
"15th Street",2026-04-27 19:00:00,2026-04-27,0.8,1.91,1.57,0.34,NA,NA
"15th Street",2026-04-27 19:00:00,2026-04-28 01:00:00,-0.3,1.57,1.57,0,1.91,-0.34
"15th Street",2026-04-27 20:00:00,2026-04-27,0.8,1.7,1.49,0.21,NA,NA
"15th Street",2026-04-27 20:00:00,2026-04-28 01:00:00,-0.2,1.49,1.49,0,1.7,-0.21
"15th Street",2026-04-27 21:00:00,2026-04-27,0.9,1.52,1.51,0.01,NA,NA
"15th Street",2026-04-27 21:00:00,2026-04-28 01:00:00,-0.2,1.51,1.51,0,1.52,-0.01
"15th Street",2026-04-27 22:00:00,2026-04-27,0.9,1.54,1.44,0.1,NA,NA
"15th Street",2026-04-27 22:00:00,2026-04-28 01:00:00,-0.1,1.44,1.44,0,1.54,-0.1
"15th Street",2026-04-27 23:00:00,2026-04-27,1,1.33,1.32,0.01,NA,NA
"15th Street",2026-04-27 23:00:00,2026-04-28 01:00:00,-0.1,1.32,1.32,0,1.33,-0.01
"15th Street",2026-04-28,2026-04-27,1,1.31,1.27,0.04,NA,NA
"15th Street",2026-04-28,2026-04-28 01:00:00,0,1.27,1.27,0,1.31,-0.04
"15th Street",2026-04-28 01:00:00,2026-04-27,1,1.27,1.28,0.01,NA,NA
"15th Street",2026-04-28 01:00:00,2026-04-28 01:00:00,0,1.28,1.28,0,1.27,0.01
"15th Street",2026-04-28 02:00:00,2026-04-27,1.1,1.27,1.24,0.03,NA,NA
"15th Street",2026-04-28 02:00:00,2026-04-28 01:00:00,0,1.24,1.24,0,1.27,-0.03
"15th Street",2026-04-28 03:00:00,2026-04-27,1.1,1.26,1.26,0,NA,NA
"15th Street",2026-04-28 03:00:00,2026-04-28 01:00:00,0.1,1.26,1.26,0,1.26,0
"15th Street",2026-04-28 04:00:00,2026-04-27,1.2,1.26,1.47,0.21,NA,NA
"15th Street",2026-04-28 04:00:00,2026-04-28 01:00:00,0.1,1.47,1.47,0,1.26,0.21
"15th Street",2026-04-28 05:00:00,2026-04-27,1.2,1.35,1.43,0.08,NA,NA
"15th Street",2026-04-28 05:00:00,2026-04-28 01:00:00,0.2,1.43,1.43,0,1.35,0.08
"15th Street",2026-04-28 06:00:00,2026-04-27,1.3,1.53,1.59,0.06,NA,NA
"15th Street",2026-04-28 06:00:00,2026-04-28 01:00:00,0.2,1.59,1.59,0,1.53,0.06
"15th Street",2026-04-28 07:00:00,2026-04-27,1.3,1.73,1.79,0.06,NA,NA
"15th Street",2026-04-28 07:00:00,2026-04-28 01:00:00,0.3,1.76,1.79,0.03,1.73,0.03
"15th Street",2026-04-28 07:00:00,2026-04-29 01:00:00,-0.8,1.79,1.79,0,1.76,0.03
"15th Street",2026-04-28 08:00:00,2026-04-27,1.3,1.9,1.92,0.02,NA,NA
"15th Street",2026-04-28 08:00:00,2026-04-28 01:00:00,0.3,1.92,1.92,0,1.9,0.02
"15th Street",2026-04-28 08:00:00,2026-04-29 01:00:00,-0.7,1.92,1.92,0,1.92,0
"15th Street",2026-04-28 09:00:00,2026-04-27,1.4,1.96,2.13,0.17,NA,NA
"15th Street",2026-04-28 09:00:00,2026-04-28 01:00:00,0.3,1.97,2.13,0.16,1.96,0.01
"15th Street",2026-04-28 09:00:00,2026-04-29 01:00:00,-0.7,2.13,2.13,0,1.97,0.16
"15th Street",2026-04-28 10:00:00,2026-04-27,1.4,2.16,2.14,0.02,NA,NA
"15th Street",2026-04-28 10:00:00,2026-04-28 01:00:00,0.4,2.13,2.14,0.01,2.16,-0.03
"15th Street",2026-04-28 10:00:00,2026-04-29 01:00:00,-0.6,2.14,2.14,0,2.13,0.01
"15th Street",2026-04-28 11:00:00,2026-04-27,1.5,2.15,2.19,0.04,NA,NA
"15th Street",2026-04-28 11:00:00,2026-04-28 01:00:00,0.4,2.08,2.19,0.11,2.15,-0.07
"15th Street",2026-04-28 11:00:00,2026-04-29 01:00:00,-0.6,2.19,2.19,0,2.08,0.11
"15th Street",2026-04-28 12:00:00,2026-04-27,1.5,2.06,2.01,0.05,NA,NA
"15th Street",2026-04-28 12:00:00,2026-04-28 01:00:00,0.5,1.96,2.01,0.05,2.06,-0.1
"15th Street",2026-04-28 12:00:00,2026-04-29 01:00:00,-0.5,2.01,2.01,0,1.96,0.05
"15th Street",2026-04-28 13:00:00,2026-04-27,1.5,1.98,1.9,0.08,NA,NA
"15th Street",2026-04-28 13:00:00,2026-04-28 01:00:00,0.5,1.85,1.9,0.05,1.98,-0.13
"15th Street",2026-04-28 13:00:00,2026-04-29 01:00:00,-0.5,1.9,1.9,0,1.85,0.05
"15th Street",2026-04-28 14:00:00,2026-04-27,1.6,1.88,1.76,0.12,NA,NA
"15th Street",2026-04-28 14:00:00,2026-04-28 01:00:00,0.5,1.98,1.76,0.22,1.88,0.1
"15th Street",2026-04-28 14:00:00,2026-04-29 01:00:00,-0.5,1.76,1.76,0,1.98,-0.22
"15th Street",2026-04-28 15:00:00,2026-04-27,1.6,1.88,1.74,0.14,NA,NA
"15th Street",2026-04-28 15:00:00,2026-04-28 01:00:00,0.6,1.95,1.74,0.21,1.88,0.07
"15th Street",2026-04-28 15:00:00,2026-04-29 01:00:00,-0.4,1.74,1.74,0,1.95,-0.21
"15th Street",2026-04-28 16:00:00,2026-04-27,1.7,1.84,1.72,0.12,NA,NA
"15th Street",2026-04-28 16:00:00,2026-04-28 01:00:00,0.6,1.86,1.72,0.14,1.84,0.02
"15th Street",2026-04-28 16:00:00,2026-04-29 01:00:00,-0.4,1.72,1.72,0,1.86,-0.14
"15th Street",2026-04-28 17:00:00,2026-04-27,1.7,1.73,1.71,0.02,NA,NA
"15th Street",2026-04-28 17:00:00,2026-04-28 01:00:00,0.7,1.65,1.71,0.06,1.73,-0.08
"15th Street",2026-04-28 17:00:00,2026-04-29 01:00:00,-0.3,1.71,1.71,0,1.65,0.06
"15th Street",2026-04-28 18:00:00,2026-04-27,1.8,1.68,1.61,0.07,NA,NA
"15th Street",2026-04-28 18:00:00,2026-04-28 01:00:00,0.7,1.55,1.61,0.06,1.68,-0.13
"15th Street",2026-04-28 18:00:00,2026-04-29 01:00:00,-0.3,1.61,1.61,0,1.55,0.06
"15th Street",2026-04-28 19:00:00,2026-04-27,1.8,1.59,1.52,0.07,NA,NA
"15th Street",2026-04-28 19:00:00,2026-04-28 01:00:00,0.8,1.41,1.52,0.11,1.59,-0.18
"15th Street",2026-04-28 19:00:00,2026-04-29 01:00:00,-0.3,1.52,1.52,0,1.41,0.11
"15th Street",2026-04-28 20:00:00,2026-04-27,1.8,1.43,1.29,0.14,NA,NA
"15th Street",2026-04-28 20:00:00,2026-04-28 01:00:00,0.8,1.33,1.29,0.04,1.43,-0.1
"15th Street",2026-04-28 20:00:00,2026-04-29 01:00:00,-0.2,1.29,1.29,0,1.33,-0.04
"15th Street",2026-04-28 21:00:00,2026-04-27,1.9,1.37,1.3,0.07,NA,NA
"15th Street",2026-04-28 21:00:00,2026-04-28 01:00:00,0.8,1.28,1.3,0.02,1.37,-0.09
"15th Street",2026-04-28 21:00:00,2026-04-29 01:00:00,-0.2,1.3,1.3,0,1.28,0.02
"15th Street",2026-04-28 22:00:00,2026-04-27,1.9,1.42,1.37,0.05,NA,NA
"15th Street",2026-04-28 22:00:00,2026-04-28 01:00:00,0.9,1.31,1.37,0.06,1.42,-0.11
"15th Street",2026-04-28 22:00:00,2026-04-29 01:00:00,-0.1,1.37,1.37,0,1.31,0.06
"15th Street",2026-04-28 23:00:00,2026-04-27,2,1.33,1.29,0.04,NA,NA
"15th Street",2026-04-28 23:00:00,2026-04-28 01:00:00,0.9,1.18,1.29,0.11,1.33,-0.15
"15th Street",2026-04-28 23:00:00,2026-04-29 01:00:00,-0.1,1.29,1.29,0,1.18,0.11
"15th Street",2026-04-29,2026-04-27,2,1.34,1.17,0.17,NA,NA
"15th Street",2026-04-29,2026-04-28 01:00:00,1,1.19,1.17,0.02,1.34,-0.15
"15th Street",2026-04-29,2026-04-29 01:00:00,0,1.17,1.17,0,1.19,-0.02
"15th Street",2026-04-29 01:00:00,2026-04-27,2,1.31,1.27,0.04,NA,NA
"15th Street",2026-04-29 01:00:00,2026-04-28 01:00:00,1,1.17,1.27,0.1,1.31,-0.14
"15th Street",2026-04-29 01:00:00,2026-04-29 01:00:00,0,1.27,1.27,0,1.17,0.1
"15th Street",2026-04-29 02:00:00,2026-04-27,2.1,1.44,1.28,0.16,NA,NA
"15th Street",2026-04-29 02:00:00,2026-04-28 01:00:00,1,1.33,1.28,0.05,1.44,-0.11
"15th Street",2026-04-29 02:00:00,2026-04-29 01:00:00,0,1.28,1.28,0,1.33,-0.05
"15th Street",2026-04-29 03:00:00,2026-04-27,2.1,1.54,1.44,0.1,NA,NA
"15th Street",2026-04-29 03:00:00,2026-04-28 01:00:00,1.1,1.42,1.44,0.02,1.54,-0.12
"15th Street",2026-04-29 03:00:00,2026-04-29 01:00:00,0.1,1.44,1.44,0,1.42,0.02
"15th Street",2026-04-29 04:00:00,2026-04-27,2.2,1.55,1.5,0.05,NA,NA
"15th Street",2026-04-29 04:00:00,2026-04-28 01:00:00,1.1,1.51,1.5,0.01,1.55,-0.04
"15th Street",2026-04-29 04:00:00,2026-04-29 01:00:00,0.1,1.5,1.5,0,1.51,-0.01
"15th Street",2026-04-29 05:00:00,2026-04-27,2.2,1.64,1.63,0.01,NA,NA
"15th Street",2026-04-29 05:00:00,2026-04-28 01:00:00,1.2,1.67,1.63,0.04,1.64,0.03
"15th Street",2026-04-29 05:00:00,2026-04-29 01:00:00,0.2,1.63,1.63,0,1.67,-0.04
"15th Street",2026-04-29 06:00:00,2026-04-27,2.3,1.72,1.67,0.05,NA,NA
"15th Street",2026-04-29 06:00:00,2026-04-28 01:00:00,1.2,1.74,1.67,0.07,1.72,0.02
"15th Street",2026-04-29 06:00:00,2026-04-29 01:00:00,0.2,1.67,1.67,0,1.74,-0.07
"15th Street",2026-04-29 07:00:00,2026-04-27,2.3,1.91,1.9,0.01,NA,NA
"15th Street",2026-04-29 07:00:00,2026-04-28 01:00:00,1.3,2.19,1.9,0.29,1.91,0.28
"15th Street",2026-04-29 07:00:00,2026-04-29 01:00:00,0.3,2.05,1.9,0.15,2.19,-0.14
"15th Street",2026-04-29 07:00:00,2026-04-30 03:00:00,-0.8,1.9,1.9,0,2.05,-0.15
"15th Street",2026-04-29 08:00:00,2026-04-27,2.3,2.11,2.18,0.07,NA,NA
"15th Street",2026-04-29 08:00:00,2026-04-28 01:00:00,1.3,2.27,2.18,0.09,2.11,0.16
"15th Street",2026-04-29 08:00:00,2026-04-29 01:00:00,0.3,2.24,2.18,0.06,2.27,-0.03
"15th Street",2026-04-29 08:00:00,2026-04-30 03:00:00,-0.8,2.18,2.18,0,2.24,-0.06
"15th Street",2026-04-29 09:00:00,2026-04-27,2.4,2.3,2.13,0.17,NA,NA
"15th Street",2026-04-29 09:00:00,2026-04-28 01:00:00,1.3,2.25,2.13,0.12,2.3,-0.05
"15th Street",2026-04-29 09:00:00,2026-04-29 01:00:00,0.3,2.19,2.13,0.06,2.25,-0.06
"15th Street",2026-04-29 09:00:00,2026-04-30 03:00:00,-0.8,2.13,2.13,0,2.19,-0.06
"15th Street",2026-04-29 10:00:00,2026-04-27,2.4,2.26,2.11,0.15,NA,NA
"15th Street",2026-04-29 10:00:00,2026-04-28 01:00:00,1.4,2.19,2.11,0.08,2.26,-0.07
"15th Street",2026-04-29 10:00:00,2026-04-29 01:00:00,0.4,2.17,2.11,0.06,2.19,-0.02
"15th Street",2026-04-29 10:00:00,2026-04-30 03:00:00,-0.7,2.11,2.11,0,2.17,-0.06
"15th Street",2026-04-29 11:00:00,2026-04-27,2.5,2.31,2.14,0.17,NA,NA
"15th Street",2026-04-29 11:00:00,2026-04-28 01:00:00,1.4,2.2,2.14,0.06,2.31,-0.11
"15th Street",2026-04-29 11:00:00,2026-04-29 01:00:00,0.4,2.16,2.14,0.02,2.2,-0.04
"15th Street",2026-04-29 11:00:00,2026-04-30 03:00:00,-0.7,2.14,2.14,0,2.16,-0.02
"15th Street",2026-04-29 12:00:00,2026-04-27,2.5,2.35,2.17,0.18,NA,NA
"15th Street",2026-04-29 12:00:00,2026-04-28 01:00:00,1.5,2.23,2.17,0.06,2.35,-0.12
"15th Street",2026-04-29 12:00:00,2026-04-29 01:00:00,0.5,2.2,2.17,0.03,2.23,-0.03
"15th Street",2026-04-29 12:00:00,2026-04-30 03:00:00,-0.6,2.17,2.17,0,2.2,-0.03
"15th Street",2026-04-29 13:00:00,2026-04-27,2.5,2.18,2.08,0.1,NA,NA
"15th Street",2026-04-29 13:00:00,2026-04-28 01:00:00,1.5,2.08,2.08,0,2.18,-0.1
"15th Street",2026-04-29 13:00:00,2026-04-29 01:00:00,0.5,2.05,2.08,0.03,2.08,-0.03
"15th Street",2026-04-29 13:00:00,2026-04-30 03:00:00,-0.6,2.08,2.08,0,2.05,0.03
"15th Street",2026-04-29 14:00:00,2026-04-27,2.6,2.13,1.96,0.17,NA,NA
"15th Street",2026-04-29 14:00:00,2026-04-28 01:00:00,1.5,2.06,1.96,0.1,2.13,-0.07
"15th Street",2026-04-29 14:00:00,2026-04-29 01:00:00,0.5,1.94,1.96,0.02,2.06,-0.12
"15th Street",2026-04-29 14:00:00,2026-04-30 03:00:00,-0.5,1.96,1.96,0,1.94,0.02
"15th Street",2026-04-29 15:00:00,2026-04-27,2.6,1.9,1.92,0.02,NA,NA
"15th Street",2026-04-29 15:00:00,2026-04-28 01:00:00,1.6,1.94,1.92,0.02,1.9,0.04
"15th Street",2026-04-29 15:00:00,2026-04-29 01:00:00,0.6,1.93,1.92,0.01,1.94,-0.01
"15th Street",2026-04-29 15:00:00,2026-04-30 03:00:00,-0.5,1.92,1.92,0,1.93,-0.01
"15th Street",2026-04-29 16:00:00,2026-04-27,2.7,1.82,1.9,0.08,NA,NA
"15th Street",2026-04-29 16:00:00,2026-04-28 01:00:00,1.6,1.9,1.9,0,1.82,0.08
"15th Street",2026-04-29 16:00:00,2026-04-29 01:00:00,0.6,1.94,1.9,0.04,1.9,0.04
"15th Street",2026-04-29 16:00:00,2026-04-30 03:00:00,-0.5,1.9,1.9,0,1.94,-0.04
"15th Street",2026-04-29 17:00:00,2026-04-27,2.7,1.75,1.66,0.09,NA,NA
"15th Street",2026-04-29 17:00:00,2026-04-28 01:00:00,1.7,1.77,1.66,0.11,1.75,0.02
"15th Street",2026-04-29 17:00:00,2026-04-29 01:00:00,0.7,1.66,1.66,0,1.77,-0.11
"15th Street",2026-04-29 17:00:00,2026-04-30 03:00:00,-0.4,1.66,1.66,0,1.66,0
"15th Street",2026-04-29 18:00:00,2026-04-27,2.8,1.78,1.69,0.09,NA,NA
"15th Street",2026-04-29 18:00:00,2026-04-28 01:00:00,1.7,1.74,1.69,0.05,1.78,-0.04
"15th Street",2026-04-29 18:00:00,2026-04-29 01:00:00,0.7,1.65,1.69,0.04,1.74,-0.09
"15th Street",2026-04-29 18:00:00,2026-04-30 03:00:00,-0.4,1.69,1.69,0,1.65,0.04
"15th Street",2026-04-29 19:00:00,2026-04-27,2.8,1.6,1.53,0.07,NA,NA
"15th Street",2026-04-29 19:00:00,2026-04-28 01:00:00,1.8,1.61,1.53,0.08,1.6,0.01
"15th Street",2026-04-29 19:00:00,2026-04-29 01:00:00,0.8,1.51,1.53,0.02,1.61,-0.1
"15th Street",2026-04-29 19:00:00,2026-04-30 03:00:00,-0.3,1.53,1.53,0,1.51,0.02
"15th Street",2026-04-29 20:00:00,2026-04-27,2.8,1.63,1.49,0.14,NA,NA
"15th Street",2026-04-29 20:00:00,2026-04-28 01:00:00,1.8,1.44,1.49,0.05,1.63,-0.19
"15th Street",2026-04-29 20:00:00,2026-04-29 01:00:00,0.8,1.43,1.49,0.06,1.44,-0.01
"15th Street",2026-04-29 20:00:00,2026-04-30 03:00:00,-0.3,1.49,1.49,0,1.43,0.06
"15th Street",2026-04-29 21:00:00,2026-04-27,2.9,1.63,1.37,0.26,NA,NA
"15th Street",2026-04-29 21:00:00,2026-04-28 01:00:00,1.8,1.38,1.37,0.01,1.63,-0.25
"15th Street",2026-04-29 21:00:00,2026-04-29 01:00:00,0.8,1.44,1.37,0.07,1.38,0.06
"15th Street",2026-04-29 21:00:00,2026-04-30 03:00:00,-0.3,1.37,1.37,0,1.44,-0.07
"15th Street",2026-04-29 22:00:00,2026-04-27,2.9,1.55,1.39,0.16,NA,NA
"15th Street",2026-04-29 22:00:00,2026-04-28 01:00:00,1.9,1.42,1.39,0.03,1.55,-0.13
"15th Street",2026-04-29 22:00:00,2026-04-29 01:00:00,0.9,1.41,1.39,0.02,1.42,-0.01
"15th Street",2026-04-29 22:00:00,2026-04-30 03:00:00,-0.2,1.39,1.39,0,1.41,-0.02
"15th Street",2026-04-29 23:00:00,2026-04-27,3,1.28,1.33,0.05,NA,NA
"15th Street",2026-04-29 23:00:00,2026-04-28 01:00:00,1.9,1.52,1.33,0.19,1.28,0.24
"15th Street",2026-04-29 23:00:00,2026-04-29 01:00:00,0.9,1.34,1.33,0.01,1.52,-0.18
"15th Street",2026-04-29 23:00:00,2026-04-30 03:00:00,-0.2,1.33,1.33,0,1.34,-0.01
"15th Street",2026-04-30,2026-04-27,3,1.41,1.4,0.01,NA,NA
"15th Street",2026-04-30,2026-04-28 01:00:00,2,1.53,1.4,0.13,1.41,0.12
"15th Street",2026-04-30,2026-04-29 01:00:00,1,1.36,1.4,0.04,1.53,-0.17
"15th Street",2026-04-30,2026-04-30 03:00:00,-0.1,1.4,1.4,0,1.36,0.04
"15th Street",2026-04-30 01:00:00,2026-04-27,3,1.42,1.53,0.11,NA,NA
"15th Street",2026-04-30 01:00:00,2026-04-28 01:00:00,2,1.61,1.53,0.08,1.42,0.19
"15th Street",2026-04-30 01:00:00,2026-04-29 01:00:00,1,1.39,1.53,0.14,1.61,-0.22
"15th Street",2026-04-30 01:00:00,2026-04-30 03:00:00,-0.1,1.53,1.53,0,1.39,0.14
"15th Street",2026-04-30 02:00:00,2026-04-27,3.1,1.52,1.5,0.02,NA,NA
"15th Street",2026-04-30 02:00:00,2026-04-28 01:00:00,2,1.61,1.5,0.11,1.52,0.09
"15th Street",2026-04-30 02:00:00,2026-04-29 01:00:00,1,1.52,1.5,0.02,1.61,-0.09
"15th Street",2026-04-30 02:00:00,2026-04-30 03:00:00,0,1.5,1.5,0,1.52,-0.02
"15th Street",2026-04-30 03:00:00,2026-04-27,3.1,1.57,1.63,0.06,NA,NA
"15th Street",2026-04-30 03:00:00,2026-04-28 01:00:00,2.1,1.61,1.63,0.02,1.57,0.04
"15th Street",2026-04-30 03:00:00,2026-04-29 01:00:00,1.1,1.62,1.63,0.01,1.61,0.01
"15th Street",2026-04-30 03:00:00,2026-04-30 03:00:00,0,1.63,1.63,0,1.62,0.01
"15th Street",2026-04-30 04:00:00,2026-04-27,3.2,1.69,1.61,0.08,NA,NA
"15th Street",2026-04-30 04:00:00,2026-04-28 01:00:00,2.1,1.62,1.61,0.01,1.69,-0.07
"15th Street",2026-04-30 04:00:00,2026-04-29 01:00:00,1.1,1.65,1.61,0.04,1.62,0.03
"15th Street",2026-04-30 04:00:00,2026-04-30 03:00:00,0,1.61,1.61,0,1.65,-0.04
"15th Street",2026-04-30 05:00:00,2026-04-27,3.2,1.79,1.62,0.17,NA,NA
"15th Street",2026-04-30 05:00:00,2026-04-28 01:00:00,2.2,1.64,1.62,0.02,1.79,-0.15
"15th Street",2026-04-30 05:00:00,2026-04-29 01:00:00,1.2,1.69,1.62,0.07,1.64,0.05
"15th Street",2026-04-30 05:00:00,2026-04-30 03:00:00,0.1,1.62,1.62,0,1.69,-0.07
"15th Street",2026-04-30 06:00:00,2026-04-27,3.3,1.88,1.72,0.16,NA,NA
"15th Street",2026-04-30 06:00:00,2026-04-28 01:00:00,2.2,1.69,1.72,0.03,1.88,-0.19
"15th Street",2026-04-30 06:00:00,2026-04-29 01:00:00,1.2,1.73,1.72,0.01,1.69,0.04
"15th Street",2026-04-30 06:00:00,2026-04-30 03:00:00,0.1,1.72,1.72,0,1.73,-0.01
"15th Street",2026-04-30 07:00:00,2026-04-27,3.3,2.14,2.09,0.05,NA,NA
"15th Street",2026-04-30 07:00:00,2026-04-28 01:00:00,2.3,1.88,2.09,0.21,2.14,-0.26
"15th Street",2026-04-30 07:00:00,2026-04-29 01:00:00,1.3,1.97,2.09,0.12,1.88,0.09
"15th Street",2026-04-30 07:00:00,2026-04-30 03:00:00,0.2,1.88,2.09,0.21,1.97,-0.09
"15th Street",2026-04-30 07:00:00,2026-05-01 01:00:00,-0.8,2.09,2.09,0,1.88,0.21
"15th Street",2026-04-30 08:00:00,2026-04-27,3.3,2.1,2.2,0.1,NA,NA
"15th Street",2026-04-30 08:00:00,2026-04-28 01:00:00,2.3,2.15,2.2,0.05,2.1,0.05
"15th Street",2026-04-30 08:00:00,2026-04-29 01:00:00,1.3,2.09,2.2,0.11,2.15,-0.06
"15th Street",2026-04-30 08:00:00,2026-04-30 03:00:00,0.2,1.97,2.2,0.23,2.09,-0.12
"15th Street",2026-04-30 08:00:00,2026-05-01 01:00:00,-0.7,2.2,2.2,0,1.97,0.23
"15th Street",2026-04-30 09:00:00,2026-04-27,3.4,2.09,2.13,0.04,NA,NA
"15th Street",2026-04-30 09:00:00,2026-04-28 01:00:00,2.3,2.1,2.13,0.03,2.09,0.01
"15th Street",2026-04-30 09:00:00,2026-04-29 01:00:00,1.3,2.06,2.13,0.07,2.1,-0.04
"15th Street",2026-04-30 09:00:00,2026-04-30 03:00:00,0.3,1.93,2.13,0.2,2.06,-0.13
"15th Street",2026-04-30 09:00:00,2026-05-01 01:00:00,-0.7,2.13,2.13,0,1.93,0.2
"15th Street",2026-04-30 10:00:00,2026-04-27,3.4,2.1,2.24,0.14,NA,NA
"15th Street",2026-04-30 10:00:00,2026-04-28 01:00:00,2.4,2.12,2.24,0.12,2.1,0.02
"15th Street",2026-04-30 10:00:00,2026-04-29 01:00:00,1.4,2.19,2.24,0.05,2.12,0.07
"15th Street",2026-04-30 10:00:00,2026-04-30 03:00:00,0.3,2.05,2.24,0.19,2.19,-0.14
"15th Street",2026-04-30 10:00:00,2026-05-01 01:00:00,-0.6,2.24,2.24,0,2.05,0.19
"15th Street",2026-04-30 11:00:00,2026-04-27,3.5,2.09,2.23,0.14,NA,NA
"15th Street",2026-04-30 11:00:00,2026-04-28 01:00:00,2.4,2.2,2.23,0.03,2.09,0.11
"15th Street",2026-04-30 11:00:00,2026-04-29 01:00:00,1.4,2.07,2.23,0.16,2.2,-0.13
"15th Street",2026-04-30 11:00:00,2026-04-30 03:00:00,0.3,2.06,2.23,0.17,2.07,-0.01
"15th Street",2026-04-30 11:00:00,2026-05-01 01:00:00,-0.6,2.23,2.23,0,2.06,0.17
"15th Street",2026-04-30 12:00:00,2026-04-27,3.5,1.94,2.35,0.41,NA,NA
